# timestamp x y z qx qy qz qw
1335704127.712909 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1335704128.112920 0.023876 -0.019690 -0.002283 0.000000 0.000000 0.000441 1.000000
1335704128.512940 0.033148 -0.062667 -0.005720 0.000000 0.000000 -0.000007 1.000000
1335704128.912963 0.076824 -0.017455 -0.000162 0.000000 0.000000 -0.000685 1.000000
1335704129.312981 0.094286 -0.026534 -0.000347 0.000000 0.000000 -0.000113 1.000000
1335704129.713031 0.120731 -0.026794 -0.000744 0.000000 0.000000 0.000469 1.000000
1335704130.113040 0.119996 -0.031299 -0.005275 0.000000 0.000000 0.000602 1.000000
1335704130.513037 0.151695 -0.036317 -0.013247 0.000000 0.000000 -0.000429 1.000000
1335704130.913063 0.160396 -0.040956 -0.010310 0.000000 0.000000 -0.000377 1.000000
1335704131.313089 0.206032 -0.036364 -0.011431 0.000000 0.000000 0.000072 1.000000
1335704131.713120 0.229643 -0.058164 -0.008718 0.000000 0.000000 0.000550 1.000000
1335704132.113151 0.231608 -0.056370 -0.008675 0.000000 0.000000 0.000237 1.000000
1335704132.513154 0.276492 -0.034507 -0.008604 0.000000 0.000000 0.000858 1.000000
1335704132.913184 0.287280 -0.042496 -0.016267 0.000000 0.000000 0.001000 0.999999
1335704133.313210 0.318964 -0.061532 -0.012952 0.000000 0.000000 0.001874 0.999998
1335704133.713225 0.314998 -0.066692 -0.018597 0.000000 0.000000 0.001910 0.999998
1335704134.113262 0.313692 -0.067555 -0.020668 0.000000 0.000000 0.001086 0.999999
1335704134.513265 0.326246 -0.066104 -0.021172 0.000000 0.000000 0.001520 0.999999
1335704134.913289 0.414842 -0.072176 -0.020666 0.000000 0.000000 0.003164 0.999995
1335704135.313306 0.426009 -0.082812 -0.019248 0.000000 0.000000 0.003781 0.999993
1335704135.713330 0.435849 -0.097712 -0.015624 0.000000 0.000000 0.003677 0.999993
1335704136.113363 0.452955 -0.101062 -0.014564 0.000000 0.000000 0.003246 0.999995
1335704136.513370 0.464156 -0.099806 -0.012203 0.000000 0.000000 0.002704 0.999996
1335704136.913381 0.507560 -0.113214 -0.018376 0.000000 0.000000 0.002947 0.999996
1335704137.313411 0.466474 -0.168546 -0.021613 0.000000 0.000000 0.001899 0.999998
1335704137.713430 0.499615 -0.171227 -0.020890 0.000000 0.000000 0.001483 0.999999
1335704138.113454 0.515442 -0.186575 -0.019337 0.000000 0.000000 0.002002 0.999998
1335704138.513463 0.497272 -0.184811 -0.012572 0.000000 0.000000 0.000585 1.000000
1335704138.913490 0.486865 -0.201694 -0.009957 0.000000 0.000000 0.000922 1.000000
1335704139.313524 0.503543 -0.215028 -0.008784 0.000000 0.000000 0.001831 0.999998
1335704139.713527 0.592053 -0.183819 -0.004382 0.000000 0.000000 0.004727 0.999989
1335704140.113553 0.645749 -0.210565 0.004125 0.000000 0.000000 0.006474 0.999979
1335704140.513575 0.671166 -0.228217 0.004956 0.000000 0.000000 0.006840 0.999977
1335704140.913594 0.685120 -0.237224 0.010752 0.000000 0.000000 0.007155 0.999974
1335704141.313628 0.710526 -0.233493 0.009695 0.000000 0.000000 0.006650 0.999978
1335704141.713638 0.730265 -0.244277 0.012588 0.000000 0.000000 0.007184 0.999974
1335704142.113657 0.785487 -0.250727 0.010708 0.000000 0.000000 0.008608 0.999963
1335704142.513679 0.793947 -0.262673 0.012523 0.000000 0.000000 0.009400 0.999956
1335704142.913704 0.833630 -0.237582 0.024617 0.000000 0.000000 0.009406 0.999956
1335704143.313721 0.906588 -0.226438 0.021894 0.000000 0.000000 0.010438 0.999946
1335704143.713739 0.926076 -0.249731 0.025202 0.000000 0.000000 0.011401 0.999935
1335704144.113759 0.968139 -0.256864 0.014710 0.000000 0.000000 0.011419 0.999935
1335704144.513777 0.954591 -0.280013 0.012893 0.000000 0.000000 0.011018 0.999939
1335704144.913790 0.992984 -0.247934 0.014693 0.000000 0.000000 0.011144 0.999938
1335704145.313823 0.981563 -0.301032 0.007899 0.000000 0.000000 0.011054 0.999939
1335704145.713831 1.017339 -0.286295 0.007262 0.000000 0.000000 0.010507 0.999945
1335704146.113863 1.027920 -0.298919 0.009175 0.000000 0.000000 0.010963 0.999940
1335704146.513885 0.977435 -0.308159 0.004234 0.000000 0.000000 0.009280 0.999957
1335704146.913903 0.954917 -0.327984 0.004049 0.000000 0.000000 0.007651 0.999971
1335704147.313926 0.986696 -0.313344 0.008250 0.000000 0.000000 0.008601 0.999963
1335704147.713943 1.027440 -0.319303 0.007965 0.000000 0.000000 0.008938 0.999960
1335704148.113964 1.043057 -0.315849 0.008976 0.000000 0.000000 0.008743 0.999962
1335704148.513987 1.071995 -0.329559 0.012798 0.000000 0.000000 0.010862 0.999941
1335704148.914023 1.146092 -0.379466 -0.036688 0.000000 0.000000 0.010260 0.999947
1335704149.314027 1.315689 -0.371294 -0.075081 0.000000 0.000000 -0.003767 0.999993
1335704149.714038 1.474476 -0.288131 -0.049765 0.000000 0.000000 -0.040428 0.999182
1335704150.114065 1.701382 -0.343960 0.042885 0.000000 0.000000 -0.090847 0.995865
1335704150.514081 2.126246 -0.450800 0.030818 0.000000 0.000000 -0.142024 0.989863
1335704150.914107 2.695054 -0.751420 -0.031746 0.000000 0.000000 -0.185271 0.982687
1335704151.314129 3.289589 -0.978236 -0.104106 0.000000 0.000000 -0.198586 0.980083
1335704151.714150 3.865416 -1.111554 -0.057913 0.000000 0.000000 -0.194670 0.980869
1335704152.114169 4.456532 -1.327638 0.042656 0.000000 0.000000 -0.194849 0.980833
1335704152.514257 5.041958 -1.533374 0.045112 0.000000 0.000000 -0.198335 0.980134
1335704152.914215 5.330275 -1.676304 -0.057798 0.000000 0.000000 -0.204229 0.978923
1335704153.314358 5.465741 -1.823485 -0.070756 0.000000 0.000000 -0.210354 0.977625
1335704153.714253 5.883668 -1.974883 -0.030545 0.000000 0.000000 -0.203236 0.979130
1335704154.114323 6.339705 -2.112746 0.062162 0.000000 0.000000 -0.207613 0.978211
1335704154.514306 6.865156 -2.320521 0.072283 0.000000 0.000000 -0.209668 0.977773
1335704154.914314 7.427389 -2.535198 0.014243 0.000000 0.000000 -0.212690 0.977120
1335704155.314338 8.000714 -2.776116 0.046051 0.000000 0.000000 -0.214020 0.976829
1335704155.714358 8.643573 -3.105493 0.050950 0.000000 0.000000 -0.211267 0.977428
1335704156.114387 9.066792 -3.314633 0.111029 0.000000 0.000000 -0.216490 0.976285
1335704156.514386 9.589443 -3.516914 -0.072405 0.000000 0.000000 -0.212237 0.977218
1335704156.914407 9.972798 -3.654970 -0.015938 0.000000 0.000000 -0.213106 0.977029
1335704157.314438 10.445593 -3.854034 0.043308 0.000000 0.000000 -0.221226 0.975223
1335704157.714456 10.944546 -4.144913 0.028006 0.000000 0.000000 -0.224235 0.974535
1335704158.114478 11.468099 -4.344645 -0.014719 0.000000 0.000000 -0.227262 0.973834
1335704158.514488 11.899792 -4.591890 -0.006675 0.000000 0.000000 -0.230324 0.973114
1335704158.914538 12.461583 -4.784392 0.072282 0.000000 0.000000 -0.237247 0.971449
1335704159.314540 12.956809 -5.067754 0.179174 0.000000 0.000000 -0.232347 0.972633
1335704159.714564 13.534616 -5.285272 0.132418 0.000000 0.000000 -0.218072 0.975933
1335704160.114585 14.086819 -5.530140 0.088683 0.000000 0.000000 -0.198364 0.980128
1335704160.514657 14.579789 -5.708944 0.101550 0.000000 0.000000 -0.192984 0.981202
1335704160.914622 15.103085 -5.894971 0.109344 0.000000 0.000000 -0.193655 0.981070
1335704161.314644 15.595328 -5.962690 0.104384 0.000000 0.000000 -0.179888 0.983687
1335704161.715083 16.081306 -6.173864 0.123467 0.000000 0.000000 -0.158969 0.987284
1335704162.114684 16.586613 -6.392328 0.082968 0.000000 0.000000 -0.150439 0.988619
1335704162.514695 17.062127 -6.567853 0.089129 0.000000 0.000000 -0.164275 0.986415
1335704162.914727 17.664205 -6.717573 0.053733 0.000000 0.000000 -0.175262 0.984522
1335704163.314743 18.167635 -6.808502 0.045634 0.000000 0.000000 -0.176209 0.984353
1335704163.714781 18.686833 -7.011150 0.070831 0.000000 0.000000 -0.165907 0.986141
1335704164.114805 19.271779 -7.318401 0.139366 0.000000 0.000000 -0.168386 0.985721
1335704164.514808 19.771390 -7.458392 0.044740 0.000000 0.000000 -0.181906 0.983316
1335704164.914827 20.231846 -7.762408 -0.010730 0.000000 0.000000 -0.188316 0.982109
1335704165.314845 20.714305 -7.972298 0.068259 0.000000 0.000000 -0.183482 0.983023
1335704165.714867 21.308268 -8.142068 0.117970 0.000000 0.000000 -0.178011 0.984029
1335704166.114886 21.919249 -8.244457 0.138615 0.000000 0.000000 -0.184880 0.982761
